Age,obsTime,obsValue
6,1993-Q1,253822
6,1993-Q2,252959
6,1993-Q3,253383
6,1993-Q4,253651
6,1994-Q1,253910
6,1994-Q2,254163
6,1994-Q3,254921
6,1994-Q4,255441
6,1995-Q1,256048
6,1995-Q2,256862
6,1995-Q3,258714
6,1995-Q4,260776
6,1996-Q1,262540
6,1996-Q2,264453
6,1996-Q3,264818
6,1996-Q4,265242
6,1997-Q1,265589
6,1997-Q2,265930
6,1997-Q3,265343
6,1997-Q4,264862
6,1998-Q1,264472
6,1998-Q2,264088
6,1998-Q3,264541
6,1998-Q4,265010
6,1999-Q1,265415
6,1999-Q2,265788
6,1999-Q3,266027
6,1999-Q4,266313
6,2000-Q1,266466
6,2000-Q2,266654
6,2000-Q3,267159
6,2000-Q4,267673
6,2001-Q1,268329
6,2001-Q2,268858
6,2001-Q3,267580
6,2001-Q4,266374
6,2002-Q1,265208
6,2002-Q2,264001
6,2002-Q3,263532
6,2002-Q4,263232
6,2003-Q1,262948
6,2003-Q2,262631
6,2003-Q3,261869
6,2003-Q4,261240
6,2004-Q1,260640
6,2004-Q2,260111
6,2004-Q3,260583
6,2004-Q4,261155
6,2005-Q1,261795
6,2005-Q2,262410
6,2005-Q3,262740
6,2005-Q4,263255
6,2006-Q1,263795
6,2006-Q2,264192
6,2006-Q3,264333
6,2006-Q4,264453
6,2007-Q1,264764
6,2007-Q2,264959
6,2007-Q3,264491
6,2007-Q4,264055
6,2008-Q1,263973
6,2008-Q2,263671
6,2008-Q3,264349
6,2008-Q4,265085
6,2009-Q1,265978
6,2009-Q2,266579
6,2009-Q3,267867
6,2009-Q4,269255
6,2010-Q1,270755
6,2010-Q2,272100
6,2010-Q3,273856
6,2010-Q4,275675
6,2011-Q1,277826
6,2011-Q2,279838
6,2011-Q3,282553
6,2011-Q4,285501
6,2012-Q1,288649
6,2012-Q2,291641
6,2012-Q3,292918
6,2012-Q4,294450
6,2013-Q1,296436
6,2013-Q2,298559
6,2013-Q3,300545
6,2013-Q4,302470
6,2014-Q1,304420
6,2014-Q2,306084
6,2014-Q3,306945
6,2014-Q4,307779
6,2015-Q1,308736
6,2015-Q2,309529
6,2015-Q3,311122
6,2015-Q4,312869
6,2016-Q1,314874
6,2016-Q2,316919
6,2016-Q3,317070
6,2016-Q4,317305
6,2017-Q1,317665
6,2017-Q2,317899
6,2017-Q3,318618
6,2017-Q4,319310
7,1981-Q3,250699
7,1981-Q4,249054
7,1982-Q1,247232
7,1982-Q2,245468
7,1982-Q3,244034
7,1982-Q4,242449
7,1983-Q1,240868
7,1983-Q2,239220
7,1983-Q3,238156
7,1983-Q4,237001
7,1984-Q1,235749
7,1984-Q2,234589
7,1984-Q3,234709
7,1984-Q4,234847
7,1985-Q1,235003
7,1985-Q2,235161
7,1985-Q3,234656
7,1985-Q4,234260
7,1986-Q1,233670
7,1986-Q2,233206
7,1986-Q3,233983
7,1986-Q4,234729
7,1987-Q1,235473
7,1987-Q2,236074
7,1987-Q3,238188
7,1987-Q4,240294
7,1988-Q1,242581
7,1988-Q2,244815
7,1988-Q3,246294
7,1988-Q4,247414
7,1989-Q1,248311
7,1989-Q2,248901
7,1989-Q3,250242
7,1989-Q4,251621
7,1990-Q1,252944
7,1990-Q2,254332
7,1990-Q3,254361
7,1990-Q4,254285
7,1991-Q1,254388
7,1991-Q2,254376
7,1991-Q3,255321
7,1991-Q4,255978
7,1992-Q1,256660
7,1992-Q2,257085
7,1992-Q3,256947
7,1992-Q4,256752
7,1993-Q1,256642
7,1993-Q2,256418
7,1993-Q3,255874
7,1993-Q4,255171
7,1994-Q1,254470
7,1994-Q2,253739
7,1994-Q3,254275
7,1994-Q4,254506
7,1995-Q1,254830
7,1995-Q2,255366
7,1995-Q3,256143
7,1995-Q4,257039
7,1996-Q1,257712
7,1996-Q2,258503
7,1996-Q3,260469
7,1996-Q4,262370
7,1997-Q1,264089
7,1997-Q2,265667
7,1997-Q3,265969
7,1997-Q4,266437
7,1998-Q1,267039
7,1998-Q2,267658
7,1998-Q3,267223
7,1998-Q4,266885
7,1999-Q1,266701
7,1999-Q2,266492
7,1999-Q3,266912
7,1999-Q4,267324
7,2000-Q1,267637
7,2000-Q2,267878
7,2000-Q3,268089
7,2000-Q4,268361
7,2001-Q1,268713
7,2001-Q2,269022
7,2001-Q3,269322
7,2001-Q4,269613
7,2002-Q1,269935
7,2002-Q2,270243
7,2002-Q3,268956
7,2002-Q4,267737
7,2003-Q1,266547
7,2003-Q2,265314
7,2003-Q3,264988
7,2003-Q4,264707
7,2004-Q1,264466
7,2004-Q2,264224
7,2004-Q3,263621
7,2004-Q4,263122
7,2005-Q1,262740
7,2005-Q2,262270
7,2005-Q3,262855
7,2005-Q4,263558
7,2006-Q1,264264
7,2006-Q2,264864
7,2006-Q3,265374
7,2006-Q4,265847
7,2007-Q1,266486
7,2007-Q2,266920
7,2007-Q3,267029
7,2007-Q4,267226
7,2008-Q1,267675
7,2008-Q2,267968
7,2008-Q3,267747
7,2008-Q4,267492
7,2009-Q1,267332
7,2009-Q2,266832
7,2009-Q3,267389
7,2009-Q4,268016
7,2010-Q1,268716
7,2010-Q2,269312
7,2010-Q3,270685
7,2010-Q4,272080
7,2011-Q1,273705
7,2011-Q2,275180
7,2011-Q3,276842
7,2011-Q4,278568
7,2012-Q1,280391
7,2012-Q2,282072
7,2012-Q3,285015
7,2012-Q4,287970
7,2013-Q1,291114
7,2013-Q2,294166
7,2013-Q3,295989
7,2013-Q4,297991
7,2014-Q1,300350
7,2014-Q2,302759
7,2014-Q3,304442
7,2014-Q4,306111
7,2015-Q1,307932
7,2015-Q2,309540
7,2015-Q3,310251
7,2015-Q4,310993
7,2016-Q1,311843
7,2016-Q2,312612
7,2016-Q3,314479
