label,propNG,nIndividuals,nIndividualsPercentile,text
Livestock Farm Workers,0.0325114272838473,31066,78,
Domestic Cleaners,0.0327200066605612,12011,55,
Other Hospitality Workers,0.0330360415394013,40925,84,
Cooks,0.0334347337553783,36489,82,
Garden,0.0339832528574048,16361,64,
Apprentice or trainee - information technology technician or telecommunications technical specialist,0.0348189415041783,718,3,
Commercial Cleaners,0.0348653835192187,105262,95,
Apprentice or trainee - electrician,0.0355846042120552,20655,70,
Motor Vehicle Parts,0.0364612252452341,10806,51,
Sales Assistants (General),0.0373440586206544,293139,100,Sales Assistants (General) 
Other Personal Service Workers,0.0375182718856586,6157,34,
Other Miscellaneous Labourers,0.0376581369689092,132322,97,Other Miscellaneous Labourers 
Survey Interviewers,0.0382921043713995,2951,18,
Shearers,0.0384893386338995,5534,32,
Other Sales Assistants,0.0391161048689139,66750,90,
Other Cleaners,0.0393234790901186,35653,81,
Outdoor Adventure Guides,0.0394366197183099,2485,15,
"Other Farm, Forestry",0.040013323895574,24017,73,
Beauty Therapists,0.040273147650285,18598,67,
Visual Arts,0.0404511863088293,2571,15,
Delivery Drivers,0.0412089241639646,41326,85,
Fencers,0.0416347381864623,3915,24,
"Agricultural, Forestry",0.0419342998715361,10898,51,
Service Station Attendants,0.0420599097250718,4874,29,
Laundry Workers,0.0423076923076923,11440,53,
Filing,0.0426229508196721,1830,10,
Forestry,0.0434952213770236,5127,30,
Education Professionals,0.0435600125352554,3191,20,
Hairdressers,0.0438820524727188,34456,81,
Massage Therapists,0.0444954128440367,6540,36,
Animal Attendants,0.0448764347016855,9671,45,
Florists,0.0450204638472033,3665,22,
Betting Clerks,0.0455788514129444,2194,13,
Pharmacy Sales Assistants,0.0459278746026526,36492,82,
Call or Contact Centre Workers,0.0466052419715538,33537,80,
"Gallery, Museum",0.0471215351812367,4690,28,
Storepersons,0.047675735315467,137764,97,Storepersons 
Bakers,0.0489706481858948,19624,69,
Child Carers,0.0493686501606858,127267,97,Child Carers 
Nursing Support,0.0500788181190479,76759,92,
Forklift Drivers,0.0503690435749359,32381,79,
Veterinary Nurses,0.0505020673360898,10158,48,
Roof Tilers,0.0505784234597794,3717,23,
"Actors, Dancers",0.0506216696269982,11260,52,
Building,0.050898864824276,67919,91,
Vehicle Painters,0.0521306818181818,7040,38,
Street Vendors,0.0524054982817869,1164,6,
Timber,0.0526270456503015,11610,53,
Product Assemblers,0.052729701151984,35938,81,
Automobile Drivers,0.052745469299432,3697,23,
Apprentice or trainee - clerical services,0.0533199195171026,994,5,
Library Assistants,0.0535098857246508,5513,31,
Chefs,0.0535433239472811,93401,94,
"Metal Casting, Forging",0.0535987748851455,1306,7,
Personal Care Consultants,0.054026503567788,981,4,
"Sports Coaches, Instructors",0.0544497507581832,28687,77,
Gardeners,0.0544630120236397,39256,84,
Other Clerical,0.054841628959276,5525,32,
Food,0.0549094328417302,40412,84,
Midwifery,0.0553064275037369,669,2,
Switchboard Operators,0.0556006493506494,2464,14,
Aged,0.0557594727373932,123961,96,Aged 
Other Factory Process Workers,0.0557810404461072,56668,89,
Textile,0.0559886605244507,1411,7,
Wood Machinists,0.056173200702165,3418,21,
Metal Engineering Process Workers,0.0565121817182634,10918,52,
Aquaculture Farmers,0.0567180616740088,1816,10,
Recycling,0.0567196531791908,2768,17,
Paving,0.0571337882875734,12602,56,
Floor Finishers,0.0584415584415584,3696,23,
Butchers,0.0589913212356618,16477,64,
Greenkeepers,0.0594275265489838,14219,58,
ICT Sales Assistants,0.0597152044097382,4354,26,
Wall,0.0600712184548692,6459,35,
Receptionists,0.0619510916882919,118303,96,Receptionists 
Painting Trades Workers,0.0625589786289203,18015,66,
Concreters,0.0630871829820377,20543,70,
Photographers,0.0633327249498084,5479,31,
Glaziers,0.0635631154879141,7819,39,
Welfare Support Workers,0.0636611066719936,80096,92,
Bricklayers,0.0637943940780171,12023,55,
Performing Arts Technicians,0.0638336184388224,11107,52,
Printing Assistants,0.0646621403168445,3093,19,
Private Tutors,0.0651702972680226,16618,65,
Dental Assistants,0.0653476997756776,27193,76,
Mixed Crop,0.0666309874230666,7474,39,
Diversional Therapists,0.0668139149641082,1811,9,
Handypersons,0.0671345461261428,10829,51,
Nurserypersons,0.0678302261007537,5042,30,
Debt Collectors,0.0678331735378715,4172,25,
Insulation,0.0678935972780699,6466,35,
Models,0.0679177837354781,19023,68,
Plastics,0.0686926605504587,8720,42,
Upholsterers,0.0688748685594111,1902,10,
Hotel Service Managers,0.0689655172413793,4582,26,
Sewing Machinists,0.0691582256374432,5726,32,
Fitness Instructors,0.0693790149892934,16345,63,
Product Quality Controllers,0.0694500200722601,2491,15,
Industrial Spraypainters,0.0698721411849451,5553,32,
Cabinetmakers,0.0701566187513409,18644,68,
Boat Builders,0.0712430426716141,2695,16,
Cafe,0.0712575442762442,50535,88,
Enrolled,0.0717639168343394,17892,66,
Music Professionals,0.0717853839037928,5405,31,
Signwriters,0.0720637841153021,3261,20,
Engineering Professionals,0.0723606168446026,843,4,
Consultant - sales assistant (retail),0.0723725613593455,6356,34,
Plasterers,0.0726799890500958,14612,59,
Crop Farmers,0.0735922514481056,10531,49,
Precision Metal Trades Workers,0.0738794435857805,3235,20,
Photographic Developers,0.0742240215924427,1482,8,
"Chief Executives, General Managers",0.0751173708920188,1917,10,
Security Officers,0.0751680095050681,53866,89,
Panelbeaters,0.0759904534606205,10475,49,
Clothing Trades Workers,0.0761772853185596,2888,18,
Keyboard Operators,0.0762288477034649,18615,67,
Sheetmetal Trades Workers,0.0762446974771154,8958,43,
Education Aides,0.076581982642091,79157,92,
Sportspersons,0.0769572953736655,13488,57,
Couriers,0.0778047792628595,24690,74,
Special Care Workers,0.0785195434105846,2891,18,
Truck Drivers,0.0787125844866431,155350,98,Truck Drivers 
Vehicle Body Builders,0.0788231020704686,2753,17,
"Gallery, Library",0.0788736776602365,6428,35,
"Clay, Concrete, Glass",0.079274272638117,6118,33,
Ticket Salespersons,0.079308162834845,9482,44,
Conference,0.08,13900,58,
"Authors,",0.0800736309249885,2173,13,
Caretakers,0.0802062446290461,3491,22,
Graphic,0.0810859295580936,33446,79,
Canvas,0.081592039800995,1005,5,
Gaming Workers,0.0816963253986596,8654,42,
"Binders, Finishers",0.08198218771409,4379,26,
Funeral Workers,0.0822208737864078,3296,21,
Court,0.0832359612344491,14549,59,
Teachers of English to Speakers of Other Languages,0.0835408022130014,3615,22,
Livestock Farmers,0.0836649939435889,11558,53,
Agricultural Technicians,0.0836734693877551,1960,11,
Retail Managers,0.0839742568877814,106747,95,Retail Managers 
Retail Supervisors,0.0842139871307125,21291,71,
General Clerks,0.0850065861061795,349220,100,General Clerks 
Purchasing,0.0857632307916606,82308,93,
Paper,0.0859223300970874,6180,34,
Other Mobile Plant Operators,0.0862730061349693,10432,49,
Complementary Health Therapists,0.0863711001642036,3045,19,
"Film, Television, Radio",0.0865047995482778,8855,43,
Social Professionals,0.0869141983034348,7191,38,
Inquiry Clerks,0.0869639794168096,5830,33,
Tourism,0.0869868103288129,21532,72,
Other Miscellaneous Technicians,0.0874085033483881,25684,75,
Railway Track Workers,0.0887722980062959,4765,28,
Sales Representatives,0.0892538782895612,150324,98,Sales Representatives 
Jewellers,0.0897496457250827,2117,12,
Other Machine Operators,0.089876061074499,36873,83,
Carpenters,0.0900351762842029,74482,92,
"Consultant, apprentice or trainee - personal service or travel",0.090218847699866,2239,13,
Motor Mechanics,0.0903599188915174,94688,94,
Structural Steel,0.0925462451587646,71521,92,
Other Miscellaneous Clerical,0.0925784655623365,36704,82,
Ministers of Religion,0.0952946768060836,16832,65,
"Fashion, Industrial",0.0956969376979937,7576,39,
Science Technicians,0.0958281444582815,16060,62,
Bus,0.0964353500949013,38461,83,
Freight,0.0970291373071796,10502,49,
Early Childhood (Pre-primary School) Teachers,0.0970359410052026,20951,71,
Medical Technicians,0.0977553025066395,27487,76,
Human Resource Clerks,0.0980036297640653,6612,36,
Graphic Pre-press Trades Workers,0.0984630163304515,2082,12,
Insurance Agents,0.0986795567083235,8482,41,
Journalists,0.099403820416109,16438,64,
Mail Sorters,0.100095900263726,8342,40,
Structural Steel Construction Workers,0.100355084696432,34358,80,
"Welfare, Recreation",0.100894700619408,7265,38,
Interior Designers,0.101600556715379,5748,33,
Conveyancers,0.101706619315379,10137,48,
Secretaries,0.101819222975949,45404,87,
"Amusement, Fitness",0.101829924650161,4645,27,
Other Information,0.102819237147595,9648,45,
"Artistic Directors,",0.103031544448996,9764,46,
Printers,0.103219286848564,6927,37,
Librarians,0.103920465203527,10662,50,
Engineering Production Systems Workers,0.10440074906367,2136,12,
Call or Contact Centre,0.104453316953317,97680,95,
Plumbers,0.105083031929374,51426,88,
Barristers,0.105846153846154,1625,8,
Telecommunications Trades Workers,0.108458346632621,15665,61,
"Auctioneers,",0.108750632271118,1977,11,
Deck,0.108780436386634,9487,45,
Other Health Diagnostic,0.10920666013712,4084,25,
Consultant - insurance (clerical),0.10952380952381,840,4,
Counsellors,0.10971547536433,14410,58,
ICT Support Technicians,0.11030004668336,23563,73,
Life Scientists,0.111126141359486,14785,60,
Transport,0.111231166336515,16659,65,
University Lecturers,0.111420657930967,61739,90,
Earthmoving Plant Operators,0.111559888579387,43080,85,
Multimedia Specialists,0.11249809712285,6569,36,
Driving Instructors,0.112709832134293,1251,6,
Consultant - sales representative (wholesale),0.114195083267248,1261,6,
Child Care Centre Managers,0.114196791955949,8354,40,
Personal Assistants,0.114284410785164,43838,85,
Motor Vehicle,0.114462361099507,11969,54,
Social Workers,0.115416644979962,38426,83,
Airconditioning,0.116339869281046,15300,60,
Licensed Club Managers,0.116354044548652,3412,21,
Hotel,0.116443979995521,13397,57,
Accounting Clerks,0.116712477094786,96048,94,
Veterinarians,0.116779640860982,8409,41,
Speech Professionals,0.117010922461339,9247,44,
Office Managers,0.11717262521022,198007,99,Office Managers 
"Insurance, Money Market",0.117979569588565,24767,74,
"Archivists, Curators",0.118469524447421,11944,54,
Manufacturers,0.118482932996207,19775,70,
Automotive Electricians,0.118510827647582,6742,37,
Other Accommodation,0.118961352657005,1656,8,
Special Education Teachers,0.119138235693897,14714,59,
"Consultant, apprentice or trainee - justice",0.119584055459272,577,1,
Registered Nurses,0.120841220057643,291101,100,Registered Nurses 
Primary School Teachers,0.121124921563532,157771,98,Primary School Teachers 
Human Resource Professionals,0.121598639455782,47040,87,
Other Stationary Plant Operators,0.121869988898483,16214,63,
Podiatrists,0.122072391767211,2818,17,
Other Construction,0.122368,15625,61,
Dietitians,0.122501998401279,5004,30,
Education Advisers,0.122707720172062,13251,57,
Occupational Therapists,0.122943722943723,15015,60,
Public Relations Professionals,0.123696623634558,16112,62,
"Importers, Exporters",0.123847495639173,4013,24,
Defence Force Members - Other Ranks,0.124275569341278,24502,74,
Consultant - environmental,0.12431693989071,1464,7,
Payroll Clerks,0.125368929433861,14908,60,
Bookkeepers,0.127584851264579,38155,83,
Intelligence,0.128128724672229,10068,47,
"Contract, Program",0.129107202124129,114494,96,"Contract, Program "
Electronics Trades Workers,0.129643224196153,27244,76,
"Dental Hygienists, Technicians",0.129703763010408,6245,34,
Chiropractors,0.130021913805698,2738,16,
Civil Engineering Draftspersons,0.130385743288969,8866,43,
Transport Services Managers,0.130658484776965,21185,71,
Other Natural,0.130876006065555,8573,41,
Consultant - medical,0.131546894031669,821,3,
Midwives,0.132230968355433,18929,68,
Other Education Managers,0.132389865327551,8762,43,
Architects,0.132666153451373,19485,69,
Consultant - marketing,0.133759274525969,4852,28,
Physiotherapists,0.133773939890974,20729,71,
Environmental Scientists,0.133922582172592,25343,74,
Retail,0.134277232244805,4379,26,
Health,0.134728298411236,34744,81,
Software,0.136354069223573,85520,93,
Mechanical Engineering Draftspersons,0.13710239145577,8614,42,
Electronic Engineering Draftspersons,0.138424821002387,5447,31,
Agricultural,0.138665735242752,8589,41,
Legislators,0.139100516097321,4069,25,
Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),0.139125077017868,24345,73,
Metal Fitters,0.140689935318564,64006,90,
Psychologists,0.142337976983646,18161,67,
Toolmakers,0.142496050552923,3165,19,
Other Specialist Managers,0.142866978793721,29048,77,
"Chemists,",0.145485083579941,12503,56,
"Insurance Investigators, Loss Adjusters",0.146296296296296,1620,8,
"Architectural, Building",0.146715776550031,43983,86,
Middle School Teachers (Aus) / Intermediate School Teachers (NZ),0.147261750754636,9276,44,
Secondary School Teachers,0.147857860475358,145322,98,Secondary School Teachers 
"Consultant, apprentice or trainee - security",0.147899159663866,595,2,
Technical Sales Representatives,0.147998265645324,27676,76,
Public servant - administrative service officer - levels 1-2,0.148110861068341,16886,65,
Primary Products Inspectors,0.149453219927096,4938,29,
Electrical Distribution Trades Workers,0.150808247023521,10331,48,
Advertising,0.151954467353952,214176,99,Advertising 
Bank Workers,0.152246863145608,68540,91,
Nurse Educators,0.152703323633022,6529,36,
"Crane, Hoist",0.153483606557377,9760,46,
Financial Dealers,0.153562919644791,4617,27,
Public servant - administrative service officer - levels 3-4,0.154015095273447,32328,79,
Telecommunications Technical Specialists,0.1546875,6400,35,
Teacher - other school,0.154750535854502,47121,87,
Database,0.154938125906194,29657,77,
Medical Laboratory Scientists,0.155111440085533,12159,56,
Travel Attendants,0.155648186744477,11995,55,
"Actuaries, Mathematicians",0.156175125245045,4591,27,
"Auditors, Company Secretaries",0.156769469239404,18709,68,
Nurse Managers,0.156875266070668,4698,28,
Training,0.157036876590675,18467,67,
Prison Officers,0.157071960297767,16120,63,
Research,0.158025144535193,10897,51,
ICT Trainers,0.158374211632796,1427,7,
CEOs,0.160122585326944,166741,99,CEOs 
Economists,0.160479391990646,3421,21,
Consultant - human resources,0.16116843482052,6881,37,
Electricians,0.161676821553016,102742,95,
Consultant - management,0.161935450872078,19551,69,
Solicitors,0.16246711487869,51315,88,
Electronics Engineers,0.163522012578616,6837,37,
Computer Network Professionals,0.163653448599887,26605,75,
Urban,0.164937865872445,9737,46,
Caravan Park,0.167141114274095,2459,14,
Geologists,0.167204580947423,9605,45,
Electrical Engineering Draftspersons,0.167250525472926,9991,47,
Consultant - tax accountant,0.168311688311688,1925,11,
Cartographers,0.1692278683888,10607,50,
Consultant - IT business analyst,0.169341515223035,16948,66,
Inspectors,0.170436580323483,16446,64,
Consultant - financial investment,0.171266808209483,2826,17,
Real Estate Sales Agents,0.171352935897819,66862,91,
Financial Investment Advisers,0.172518533772652,19424,69,
Management,0.173710131332083,42640,85,
"Industrial, Mechanical",0.173783412408286,38571,84,
Pharmacists,0.17396751532507,22349,72,
ICT Support,0.176751247018,13833,58,
Land Economists,0.176916769167692,4878,29,
Construction Managers,0.177509214022457,58335,89,
Medical Imaging Professionals,0.177594414471596,15755,62,
Telecommunications Engineering Professionals,0.177739294710327,6352,34,
Practice Managers,0.17801319902744,69096,91,
Supply,0.178502279682718,16011,62,
Consultant - occupational health,0.179001721170396,1743,9,
Judicial,0.181581516433453,3073,19,
Consultant - construction manager,0.182665424044734,1073,6,
Ambulance Officers,0.182695379896479,15649,61,
ICT Business,0.183452706195082,27086,75,
Financial Brokers,0.18367070611333,14771,59,
Consultant - engineering,0.183985102420857,5370,30,
Optometrists,0.184,4625,27,
Aircraft Maintenance Engineers,0.184261568301469,10827,51,
Credit,0.184303256807261,9365,44,
Safety Inspectors,0.184390973694053,8021,40,
ICT Sales Professionals,0.184413230629814,15449,61,
Production Managers,0.185251245464051,16259,63,
Civil Engineering Professionals,0.186488142119541,45708,87,
"Chemical, Gas, Petroleum",0.187736430016715,11367,53,
General Managers,0.188502159602828,226199,100,General Managers 
Generalist Medical Practitioners,0.189412019960946,32263,78,
Chemical,0.191146102219928,7748,39,
Fire and Emergency Workers,0.193229409027455,17192,66,
"Drillers, Miners",0.193512846503019,45382,86,
Accountants,0.195831185648014,159086,99,Accountants 
Policy,0.197076052923947,39604,84,
Corporate Services Managers,0.197199880845993,10071,47,
Consultant - real estate representative,0.197680038666022,2069,12,
Train,0.197781273284212,12079,55,
Other Engineering Professionals,0.198561202069601,28218,77,
Marine Transport Professionals,0.199554483014665,10774,50,
Occupational,0.203192297947808,11841,54,
Finance Managers,0.203757387806468,44499,86,
Human Resource Managers,0.206037829354919,24214,73,
Other Medical Practitioners,0.209023706347183,27461,76,
Electrical Engineers,0.209458857091914,22434,72,
ICT Managers,0.213495319798938,56301,89,
"Other Hospitality, Retail",0.213630204483863,32472,79,
Dental Practitioners,0.215754215754216,8658,42,
Police,0.222610213880402,59566,90,
Other Building,0.22349220691213,22135,72,
Engineering Managers,0.230270652472797,25457,75,
Psychiatrists,0.235036496350365,2740,17,
Air Transport Professionals,0.238662830524729,14598,59,
Mining Engineers,0.246216060080878,8655,42,
Commissioned Officers (Management),0.24901547760784,10919,52,
Internal Medicine Specialists,0.266512025393725,8191,40,
School Principals,0.266917937296556,11674,54,
Senior Non-commissioned Defence Force Members,0.267576438072206,5789,33,
Surgeons,0.2854526425955,3822,24,
Anaesthetists,0.296762024520591,3181,20,Anaesthetists
