variable	inflator	h
Rent_int_ded_amt	1	8
Rep_frng_ben_amt	1.28	8
Spouse_adjusted_taxable_inc	1	8
TFN_amts_wheld_divs_amt	0.89	8
TFN_amts_wheld_gr_intst_amt	1.21	8
Taxed_othr_pnsn_amt	1.04	8
Tot_CY_CG_amt	1	8
Total_NPP_BE_amt	0.75	8
Total_NPP_BI_amt	0.75	8
Total_PP_BE_amt	0.99	8
Total_PP_BI_amt	0.99	8
Unfranked_Div_amt	1.09	8
Untaxed_othr_pnsn_amt	1.24	8
Asbl_forgn_source_incm_amt	0.88	9
Aust_govt_pnsn_allw_amt	1	9
Cr_PAYG_ITI_amt	0.98	9
Div_Ded_amt	0.02	9
Dividends_franking_cr_amt	1.05	9
Frk_Div_amt	1	9
Gift_amt	1.09	9
Gross_rent_amt	1.34	9
Grs_int_amt	1	9
Help_debt	1.87	9
Hrs_to_prepare_BPI_cnt	1	9
Intrst_Ded_amt	1	9
Med_Exp_TO_amt	0.71	9
NPP_loss_claimed	1	9
Net_CG_amt	1	9
Net_PT_NPP_dsn	0.94	9
Net_PT_PP_dsn	0.97	9
Net_farm_management_amt	1	9
Net_fincl_invstmt_lss_amt	1	9
Other_foreign_inc_amt	0.98	9
Other_inc_amt	0.99	9
Other_rent_ded_amt	1.37	9
PP_loss_claimed	1.06	9
Rent_cap_wks_amt	1.46	9
Rent_int_ded_amt	1	9
Rep_frng_ben_amt	1.31	9
Spouse_adjusted_taxable_inc	1	9
TFN_amts_wheld_divs_amt	0.89	9
TFN_amts_wheld_gr_intst_amt	1.21	9
Taxed_othr_pnsn_amt	1.04	9
Tot_CY_CG_amt	1	9
Total_NPP_BE_amt	0.75	9
Total_NPP_BI_amt	0.75	9
Total_PP_BE_amt	0.99	9
Total_PP_BI_amt	0.99	9
Unfranked_Div_amt	1.09	9
Untaxed_othr_pnsn_amt	1.27	9
Asbl_forgn_source_incm_amt	0.88	10
Aust_govt_pnsn_allw_amt	1	10
Cr_PAYG_ITI_amt	0.98	10
Div_Ded_amt	-0.09	10
Dividends_franking_cr_amt	1.05	10
Frk_Div_amt	1	10
Gift_amt	1.09	10
Gross_rent_amt	1.38	10
Grs_int_amt	1	10
Help_debt	1.97	10
Hrs_to_prepare_BPI_cnt	1	10
Intrst_Ded_amt	1	10
Med_Exp_TO_amt	0.68	10
NPP_loss_claimed	1	10
Net_CG_amt	1	10
Net_PT_NPP_dsn	0.93	10
Net_PT_PP_dsn	0.97	10
Net_farm_management_amt	1	10
Net_fincl_invstmt_lss_amt	1	10
Other_foreign_inc_amt	0.98	10
Other_inc_amt	0.99	10
Other_rent_ded_amt	1.41	10
PP_loss_claimed	1.06	10
Rent_cap_wks_amt	1.51	10
Rent_int_ded_amt	1	10
Rep_frng_ben_amt	1.35	10
Spouse_adjusted_taxable_inc	1	10
TFN_amts_wheld_divs_amt	0.89	10
TFN_amts_wheld_gr_intst_amt	1.21	10
Taxed_othr_pnsn_amt	1.04	10
Tot_CY_CG_amt	1	10
Total_NPP_BE_amt	0.75	10
Total_NPP_BI_amt	0.75	10
Total_PP_BE_amt	0.99	10
Total_PP_BI_amt	0.99	10
Unfranked_Div_amt	1.09	10
Untaxed_othr_pnsn_amt	1.3	10
Asbl_forgn_source_incm_amt	0.88	11
Aust_govt_pnsn_allw_amt	1	11
Cr_PAYG_ITI_amt	0.98	11
Div_Ded_amt	-0.2	11
Dividends_franking_cr_amt	1.05	11
Frk_Div_amt	1	11
Gift_amt	1.09	11
Gross_rent_amt	1.42	11
Grs_int_amt	1	11
Help_debt	2.06	11
Hrs_to_prepare_BPI_cnt	1	11
Intrst_Ded_amt	1	11
Med_Exp_TO_amt	0.65	11
NPP_loss_claimed	1	11
Net_CG_amt	1	11
Net_PT_NPP_dsn	0.92	11
Net_PT_PP_dsn	0.97	11
Net_farm_management_amt	1	11
Net_fincl_invstmt_lss_amt	1	11
Other_foreign_inc_amt	0.98	11
Other_inc_amt	0.99	11
Other_rent_ded_amt	1.45	11
PP_loss_claimed	1.06	11
Rent_cap_wks_amt	1.56	11
Rent_int_ded_amt	1	11
Rep_frng_ben_amt	1.39	11
Spouse_adjusted_taxable_inc	1	11
TFN_amts_wheld_divs_amt	0.89	11
TFN_amts_wheld_gr_intst_amt	1.21	11
Taxed_othr_pnsn_amt	1.04	11
Tot_CY_CG_amt	1	11
Total_NPP_BE_amt	0.75	11
Total_NPP_BI_amt	0.75	11
Total_PP_BE_amt	0.99	11
Total_PP_BI_amt	0.99	11
Unfranked_Div_amt	1.09	11
Untaxed_othr_pnsn_amt	1.33	11
Asbl_forgn_source_incm_amt	0.88	12
Aust_govt_pnsn_allw_amt	1	12
Cr_PAYG_ITI_amt	0.98	12
Div_Ded_amt	-0.31	12
Dividends_franking_cr_amt	1.05	12
Frk_Div_amt	1	12
Gift_amt	1.09	12
Gross_rent_amt	1.46	12
Grs_int_amt	1	12
Help_debt	2.16	12
Hrs_to_prepare_BPI_cnt	1	12
Intrst_Ded_amt	1	12
Med_Exp_TO_amt	0.63	12
NPP_loss_claimed	1	12
Net_CG_amt	1	12
Net_PT_NPP_dsn	0.91	12
Net_PT_PP_dsn	0.97	12
Net_farm_management_amt	1	12
Net_fincl_invstmt_lss_amt	1	12
