variable	inflator	h
Cr_PAYG_ITI_amt	0.96	3
Div_Ded_amt	0.55	3
Dividends_franking_cr_amt	1.01	3
Frk_Div_amt	0.99	3
Gift_amt	0.85	3
Gross_rent_amt	1.17	3
Grs_int_amt	0.74	3
Help_debt	1.69	3
Hrs_to_prepare_BPI_cnt	0.36	3
Intrst_Ded_amt	0.77	3
Med_Exp_TO_amt	0.81	3
NPP_loss_claimed	0.94	3
Net_CG_amt	1.06	3
Net_PT_NPP_dsn	1.01	3
Net_PT_PP_dsn	1.11	3
Net_farm_management_amt	1.56	3
Net_fincl_invstmt_lss_amt	0.74	3
Other_foreign_inc_amt	0.9	3
Other_inc_amt	0.84	3
Other_rent_ded_amt	1.21	3
PP_loss_claimed	0.92	3
Rent_cap_wks_amt	1.29	3
Rent_int_ded_amt	0.98	3
Rep_frng_ben_amt	1.19	3
Spouse_adjusted_taxable_inc	1	3
TFN_amts_wheld_divs_amt	1.1	3
TFN_amts_wheld_gr_intst_amt	0.93	3
Taxed_othr_pnsn_amt	0.94	3
Tot_CY_CG_amt	1.08	3
Total_NPP_BE_amt	1.19	3
Total_NPP_BI_amt	1.07	3
Total_PP_BE_amt	1.04	3
Total_PP_BI_amt	1.15	3
Unfranked_Div_amt	0.93	3
Untaxed_othr_pnsn_amt	1.14	3
Asbl_forgn_source_incm_amt	0.59	4
Aust_govt_pnsn_allw_amt	1.01	4
Cr_PAYG_ITI_amt	0.96	4
Div_Ded_amt	0.46	4
Dividends_franking_cr_amt	1.01	4
Frk_Div_amt	0.99	4
Gift_amt	0.85	4
Gross_rent_amt	1.21	4
Grs_int_amt	0.74	4
Help_debt	1.82	4
Hrs_to_prepare_BPI_cnt	0.36	4
Intrst_Ded_amt	0.77	4
Med_Exp_TO_amt	0.78	4
NPP_loss_claimed	0.94	4
Net_CG_amt	1.06	4
Net_PT_NPP_dsn	1	4
Net_PT_PP_dsn	1.11	4
Net_farm_management_amt	1.56	4
Net_fincl_invstmt_lss_amt	0.74	4
Other_foreign_inc_amt	0.9	4
Other_inc_amt	0.84	4
Other_rent_ded_amt	1.25	4
PP_loss_claimed	0.92	4
Rent_cap_wks_amt	1.35	4
Rent_int_ded_amt	0.98	4
Rep_frng_ben_amt	1.23	4
Spouse_adjusted_taxable_inc	1	4
TFN_amts_wheld_divs_amt	1.1	4
TFN_amts_wheld_gr_intst_amt	0.93	4
Taxed_othr_pnsn_amt	0.94	4
Tot_CY_CG_amt	1.08	4
Total_NPP_BE_amt	1.19	4
Total_NPP_BI_amt	1.07	4
Total_PP_BE_amt	1.04	4
Total_PP_BI_amt	1.15	4
Unfranked_Div_amt	0.93	4
Untaxed_othr_pnsn_amt	1.17	4
Asbl_forgn_source_incm_amt	0.59	5
Aust_govt_pnsn_allw_amt	1.01	5
Cr_PAYG_ITI_amt	0.96	5
Div_Ded_amt	0.37	5
Dividends_franking_cr_amt	1.01	5
Frk_Div_amt	0.99	5
Gift_amt	0.85	5
Gross_rent_amt	1.25	5
Grs_int_amt	0.74	5
Help_debt	1.94	5
Hrs_to_prepare_BPI_cnt	0.36	5
Intrst_Ded_amt	0.77	5
Med_Exp_TO_amt	0.74	5
NPP_loss_claimed	0.94	5
Net_CG_amt	1.06	5
Net_PT_NPP_dsn	0.99	5
Net_PT_PP_dsn	1.11	5
Net_farm_management_amt	1.56	5
Net_fincl_invstmt_lss_amt	0.74	5
Other_foreign_inc_amt	0.9	5
Other_inc_amt	0.84	5
Other_rent_ded_amt	1.3	5
PP_loss_claimed	0.92	5
Rent_cap_wks_amt	1.4	5
Rent_int_ded_amt	0.98	5
Rep_frng_ben_amt	1.27	5
Spouse_adjusted_taxable_inc	1	5
TFN_amts_wheld_divs_amt	1.1	5
TFN_amts_wheld_gr_intst_amt	0.93	5
Taxed_othr_pnsn_amt	0.94	5
Tot_CY_CG_amt	1.08	5
Total_NPP_BE_amt	1.19	5
Total_NPP_BI_amt	1.07	5
Total_PP_BE_amt	1.04	5
Total_PP_BI_amt	1.15	5
Unfranked_Div_amt	0.93	5
Untaxed_othr_pnsn_amt	1.2	5
Asbl_forgn_source_incm_amt	0.59	6
Aust_govt_pnsn_allw_amt	1.01	6
Cr_PAYG_ITI_amt	0.96	6
Div_Ded_amt	0.28	6
Dividends_franking_cr_amt	1.01	6
Frk_Div_amt	0.99	6
Gift_amt	0.85	6
Gross_rent_amt	1.29	6
Grs_int_amt	0.74	6
Help_debt	2.07	6
Hrs_to_prepare_BPI_cnt	0.36	6
Intrst_Ded_amt	0.77	6
Med_Exp_TO_amt	0.71	6
NPP_loss_claimed	0.94	6
Net_CG_amt	1.06	6
Net_PT_NPP_dsn	0.98	6
Net_PT_PP_dsn	1.11	6
Net_farm_management_amt	1.56	6
Net_fincl_invstmt_lss_amt	0.74	6
Other_foreign_inc_amt	0.9	6
Other_inc_amt	0.84	6
Other_rent_ded_amt	1.34	6
PP_loss_claimed	0.92	6
Rent_cap_wks_amt	1.46	6
Rent_int_ded_amt	0.98	6
Rep_frng_ben_amt	1.3	6
Spouse_adjusted_taxable_inc	1	6
TFN_amts_wheld_divs_amt	1.1	6
TFN_amts_wheld_gr_intst_amt	0.93	6
Taxed_othr_pnsn_amt	0.94	6
Tot_CY_CG_amt	1.08	6
Total_NPP_BE_amt	1.19	6
Total_NPP_BI_amt	1.07	6
Total_PP_BE_amt	1.04	6
Total_PP_BI_amt	1.15	6
Unfranked_Div_amt	0.93	6
Untaxed_othr_pnsn_amt	1.23	6
Asbl_forgn_source_incm_amt	0.59	7
Aust_govt_pnsn_allw_amt	1.01	7
Cr_PAYG_ITI_amt	0.96	7
Div_Ded_amt	0.19	7
Dividends_franking_cr_amt	1.01	7
Frk_Div_amt	0.99	7
Gift_amt	0.85	7
Gross_rent_amt	1.33	7
Grs_int_amt	0.74	7
Help_debt	2.2	7
Hrs_to_prepare_BPI_cnt	0.36	7
Intrst_Ded_amt	0.77	7
Med_Exp_TO_amt	0.68	7
NPP_loss_claimed	0.94	7
Net_CG_amt	1.06	7
Net_PT_NPP_dsn	0.96	7
Net_PT_PP_dsn	1.11	7
Net_farm_management_amt	1.56	7
Net_fincl_invstmt_lss_amt	0.74	7
Other_foreign_inc_amt	0.9	7
Other_inc_amt	0.84	7
Other_rent_ded_amt	1.38	7
PP_loss_claimed	0.92	7
Rent_cap_wks_amt	1.52	7
Rent_int_ded_amt	0.98	7
Rep_frng_ben_amt	1.34	7
Spouse_adjusted_taxable_inc	1	7
TFN_amts_wheld_divs_amt	1.1	7
TFN_amts_wheld_gr_intst_amt	0.93	7
Taxed_othr_pnsn_amt	0.94	7
Tot_CY_CG_amt	1.08	7
Total_NPP_BE_amt	1.19	7
Total_NPP_BI_amt	1.07	7
Total_PP_BE_amt	1.04	7
Total_PP_BI_amt	1.15	7
Unfranked_Div_amt	0.93	7
Untaxed_othr_pnsn_amt	1.26	7
Asbl_forgn_source_incm_amt	0.59	8
Aust_govt_pnsn_allw_amt	1.01	8
Cr_PAYG_ITI_amt	0.96	8
Div_Ded_amt	0.11	8
Dividends_franking_cr_amt	1.01	8
Frk_Div_amt	0.99	8
Gift_amt	0.85	8
Gross_rent_amt	1.37	8
Grs_int_amt	0.74	8
Help_debt	2.32	8
Hrs_to_prepare_BPI_cnt	0.36	8
Intrst_Ded_amt	0.77	8
Med_Exp_TO_amt	0.65	8
NPP_loss_claimed	0.94	8
Net_CG_amt	1.06	8
Net_PT_NPP_dsn	0.95	8
Net_PT_PP_dsn	1.11	8
Net_farm_management_amt	1.56	8
Net_fincl_invstmt_lss_amt	0.74	8
Other_foreign_inc_amt	0.9	8
Other_inc_amt	0.84	8
Other_rent_ded_amt	1.43	8
PP_loss_claimed	0.92	8
Rent_cap_wks_amt	1.57	8
Rent_int_ded_amt	0.98	8
Rep_frng_ben_amt	1.38	8
Spouse_adjusted_taxable_inc	1	8
TFN_amts_wheld_divs_amt	1.1	8
TFN_amts_wheld_gr_intst_amt	0.93	8
Taxed_othr_pnsn_amt	0.94	8
Tot_CY_CG_amt	1.08	8
Total_NPP_BE_amt	1.19	8
Total_NPP_BI_amt	1.07	8
Total_PP_BE_amt	1.04	8
Total_PP_BI_amt	1.15	8
Unfranked_Div_amt	0.93	8
Untaxed_othr_pnsn_amt	1.29	8
Asbl_forgn_source_incm_amt	0.59	9
Aust_govt_pnsn_allw_amt	1.01	9
Cr_PAYG_ITI_amt	0.96	9
Div_Ded_amt	0.02	9
Dividends_franking_cr_amt	1.01	9
Frk_Div_amt	0.99	9
Gift_amt	0.85	9
Gross_rent_amt	1.41	9
Grs_int_amt	0.74	9
Help_debt	2.45	9
Hrs_to_prepare_BPI_cnt	0.36	9
Intrst_Ded_amt	0.77	9
Med_Exp_TO_amt	0.63	9
NPP_loss_claimed	0.94	9
Net_CG_amt	1.06	9
Net_PT_NPP_dsn	0.94	9
Net_PT_PP_dsn	1.11	9
Net_farm_management_amt	1.56	9
Net_fincl_invstmt_lss_amt	0.74	9
Other_foreign_inc_amt	0.9	9
Other_inc_amt	0.84	9
Other_rent_ded_amt	1.47	9
PP_loss_claimed	0.92	9
Rent_cap_wks_amt	1.63	9
Rent_int_ded_amt	0.98	9
Rep_frng_ben_amt	1.42	9
Spouse_adjusted_taxable_inc	1	9
TFN_amts_wheld_divs_amt	1.1	9
TFN_amts_wheld_gr_intst_amt	0.93	9
Taxed_othr_pnsn_amt	0.94	9
Tot_CY_CG_amt	1.08	9
Total_NPP_BE_amt	1.19	9
Total_NPP_BI_amt	1.07	9
Total_PP_BE_amt	1.04	9
Total_PP_BI_amt	1.15	9
Unfranked_Div_amt	0.93	9
Untaxed_othr_pnsn_amt	1.32	9
Asbl_forgn_source_incm_amt	0.59	10
Aust_govt_pnsn_allw_amt	1.01	10
Cr_PAYG_ITI_amt	0.96	10
Div_Ded_amt	-0.07	10
Dividends_franking_cr_amt	1.01	10
Frk_Div_amt	0.99	10
Gift_amt	0.85	10
Gross_rent_amt	1.45	10
Grs_int_amt	0.74	10
Help_debt	2.57	10
Hrs_to_prepare_BPI_cnt	0.36	10
Intrst_Ded_amt	0.77	10
Med_Exp_TO_amt	0.6	10
NPP_loss_claimed	0.94	10
Net_CG_amt	1.06	10
Net_PT_NPP_dsn	0.93	10
Net_PT_PP_dsn	1.11	10
Net_farm_management_amt	1.56	10
Net_fincl_invstmt_lss_amt	0.74	10
Other_foreign_inc_amt	0.9	10
Other_inc_amt	0.84	10
Other_rent_ded_amt	1.52	10
PP_loss_claimed	0.92	10
Rent_cap_wks_amt	1.69	10
Rent_int_ded_amt	0.98	10
Rep_frng_ben_amt	1.46	10
Spouse_adjusted_taxable_inc	1	10
TFN_amts_wheld_divs_amt	1.1	10
TFN_amts_wheld_gr_intst_amt	0.93	10
Taxed_othr_pnsn_amt	0.94	10
Tot_CY_CG_amt	1.08	10
Total_NPP_BE_amt	1.19	10
Total_NPP_BI_amt	1.07	10
Total_PP_BE_amt	1.04	10
Total_PP_BI_amt	1.15	10
Unfranked_Div_amt	0.93	10
Untaxed_othr_pnsn_amt	1.35	10
